0Sale_ID,age,price,pas,wtop,fixgear,tdrag,horse,fuel,ceiling,cruise
101,22,9000,2,1,0,0,5.739792912179234,4.51085950651685,9.741027444837728,5.402677381872279
102,21,10000,2,1,0,0,5.739792912179234,4.51085950651685,9.741027444837728,5.402677381872279
103,20,11500,2,1,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.402677381872279
104,19,13000,2,1,0,0,5.739792912179234,4.51085950651685,9.741027444837728,5.402677381872279
105,22,17000,2,1,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.402677381872279
106,21,18000,2,1,0,0,5.739792912179234,4.51085950651685,9.741027444837728,5.402677381872279
107,20,19000,4,1,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.402677381872279
108,19,20500,4,1,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.402677381872279
109,18,23500,4,1,0,0,5.351858133476067,4.343805421853684,10.239995502805316,5.337538079701318
110,17,27500,4,1,0,0,5.351858133476067,4.343805421853684,10.239995502805316,5.313205979041787
111,21,13000,4,1,0,0,5.564520407322694,4.51085950651685,9.952325334619427,5.293304824724492
112,20,14000,4,1,0,0,5.739792912179234,4.51085950651685,9.741027444837728,5.288267030694535
113,19,15500,4,1,0,0,5.655991810819852,4.31748811353631,9.680406499268875,5.272999558563747
114,36,11605,4,1,0,0,5.655991810819852,4.31748811353631,9.680406499268875,5.272999558563747
115,34,11605,4,1,0,0,5.655991810819852,4.31748811353631,9.680406499268875,5.272999558563747
116,32,13000,4,1,0,0,5.655991810819852,4.31748811353631,9.680406499268875,5.25227342804663
117,30,14250,4,1,0,0,5.655991810819852,4.31748811353631,9.680406499268875,5.25227342804663
118,28,15000,4,1,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
119,26,16000,4,1,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
120,24,17000,4,1,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
121,34,10750,4,1,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
122,32,11250,4,1,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
123,30,12750,4,1,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
124,26,14000,4,1,0,0,5.707110264748875,4.795790545596741,10.12667110305036,5.231108616854587
125,22,14500,4,1,0,0,5.564520407322694,4.875197323201151,9.61587214452889,5.225746673713202
126,37,10500,4,1,0,0,5.707110264748875,4.634728988229636,9.90353755128617,5.181783550292085
127,36,11500,4,1,0,0,5.707110264748875,4.634728988229636,9.90353755128617,5.181783550292085
128,33,12500,4,1,0,0,5.707110264748875,4.634728988229636,9.90353755128617,5.181783550292085
129,32,13750,4,1,0,0,5.707110264748875,4.634728988229636,9.90353755128617,5.181783550292085
130,30,16000,2,1,0,0,5.351858133476067,4.30406509320417,9.472781556562168,5.153291594497779
131,26,20000,2,1,0,0,5.351858133476067,4.30406509320417,9.472781556562168,5.153291594497779
132,23,25500,2,1,0,0,5.351858133476067,4.30406509320417,9.472781556562168,5.153291594497779
133,20,34000,2,1,0,0,5.351858133476067,4.30406509320417,9.472781556562168,5.153291594497779
134,18,46000,2,1,0,0,5.351858133476067,4.30406509320417,9.472781556562168,5.153291594497779
135,44,12000,2,1,0,0,5.351858133476067,4.30406509320417,9.472781556562168,5.153291594497779
136,40,12500,2,1,0,0,5.303304908059076,4.290459441148391,10.085850775128717,5.153291594497779
137,39,13000,2,1,0,0,5.303304908059076,4.290459441148391,10.085850775128717,5.153291594497779
138,38,13500,2,1,0,0,5.303304908059076,4.290459441148391,10.085850775128717,5.153291594497779
139,37,14000,2,1,0,0,5.303304908059076,4.290459441148391,10.085850775128717,5.153291594497779
140,36,14750,2,1,0,0,5.303304908059076,4.290459441148391,10.085850775128717,5.153291594497779
141,35,15500,4,1,0,0,5.303304908059076,4.290459441148391,10.085850775128717,5.153291594497779
142,34,15750,4,1,0,0,5.303304908059076,4.290459441148391,10.085850775128717,5.153291594497779
143,33,16000,4,1,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
144,32,16500,4,1,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
145,31,17500,4,1,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
146,29,19000,4,1,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
147,27,20000,4,1,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
148,26,21000,4,1,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
149,25,24500,4,1,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.14166355650266
150,24,25500,4,1,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.14166355650266
151,23,25000,4,1,0,0,5.655991810819852,4.394449154672439,9.729193687429403,5.1298987149230735
152,22,27500,4,1,0,0,5.655991810819852,4.31748811353631,9.729193687429403,5.1298987149230735
153,21,29500,4,1,0,0,5.655991810819852,4.31748811353631,9.729193687429403,5.1298987149230735
154,20,33000,4,1,0,0,5.655991810819852,4.31748811353631,9.729193687429403,5.1298987149230735
155,19,37500,4,1,0,0,5.655991810819852,4.31748811353631,9.729193687429403,5.1298987149230735
156,18,42000,4,1,1,0,5.655991810819852,4.31748811353631,9.729193687429403,5.1298987149230735
157,17,47000,4,1,1,0,5.655991810819852,4.31748811353631,9.729193687429403,5.1298987149230735
158,32,15250,4,1,1,0,5.655991810819852,4.31748811353631,9.729193687429403,5.1298987149230735
159,31,17000,4,1,1,0,5.655991810819852,4.31748811353631,9.729193687429403,5.1298987149230735
160,30,18000,4,1,1,0,5.655991810819852,4.31748811353631,9.729193687429403,5.1298987149230735
161,29,19500,4,1,1,0,5.707110264748875,4.634728988229636,9.90353755128617,5.111987788356544
162,28,21000,4,1,1,0,5.707110264748875,4.634728988229636,9.90353755128617,5.111987788356544
163,27,22500,4,1,1,0,5.707110264748875,4.634728988229636,9.90353755128617,5.111987788356544
164,26,24000,6,1,1,0,5.707110264748875,4.634728988229636,9.90353755128617,5.111987788356544
165,25,25500,6,1,1,0,5.564520407322694,4.23410650459726,9.680406499268875,5.093750200806762
